date,type,count,mean,std,min,25%,50%,75%,max
2010-04-20,access point,2.0,3.5,2.1213203435596424,2.0,2.75,3.5,4.25,5.0
2010-04-23,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-04-24,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2010-04-25,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-04-27,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-04-28,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2010-04-29,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-04-30,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2010-05-04,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-05-06,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-05-08,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-05-10,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2010-05-13,keyboard,6.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0
2010-05-19,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2010-05-22,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2010-05-24,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-05-27,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-05-28,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-05-30,access point,2.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
2010-06-01,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2010-06-04,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-06-06,access point,2.0,3.0,2.8284271247461903,1.0,2.0,3.0,4.0,5.0
2010-06-07,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-06-08,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-06-10,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-06-11,access point,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
2010-06-12,access point,2.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
